"chr","GeneID","TranscriptID","Feature","Contig","Start","Stop","Strand","Name","Product","Alias.Synonyms","EC_number","BUSCO","PFAM","InterPro","EggNog","COG","GO.Terms","Secreted","Membrane","Protease","CAZyme","Notes","begin","end","scaffold","i.begin","i.end","source","scaffold_name"
"2","gene-BN980_GECA02s02540g","gene-BN980_GECA02s02540g-T1","mRNA","CCBN010000002.1",579055,582249,"+","SLA2","sla2 Src-like adaptor 2",NA,"","EOG093413GF","PF01608;PF07651","IPR002558 I/LWEQ domain;IPR008942 ENTH/VHS;IPR011417 AP180 N-terminal homology (ANTH) domain;IPR013809 ENTH  domain;IPR030224 Sla2 family;IPR035964 I/LWEQ domain superfamily","ENOG503Q3C0","Z:(Z) Cytoskeleton","GO_function: GO:0030276 - clathrin binding [Evidence IEA];GO_function: GO:0005543 - phospholipid binding [Evidence IEA];GO_function: GO:0003779 - actin binding [Evidence IEA];GO_process: GO:0006897 - endocytosis [Evidence IEA]",NA,NA,"","","",579055,582249,2,582000,585000,"list_cnv_geob_cheese","CCBN010000002.1"
"2","gene-BN980_GECA02s02545g","gene-BN980_GECA02s02545g-T1","mRNA","CCBN010000002.1",584221,585066,"+","","mating type protein MATA",NA,"","","","IPR036910 High mobility group box domain superfamily","ENOG503P9NX","K:(K) Transcription","",NA,NA,"","","",584221,585066,2,582000,585000,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,664500,665000,"list_cnv_geob_cheese","CCBN010000002.1"
"2","gene-BN980_GECA02s03035g","gene-BN980_GECA02s03035g-T1","mRNA","CCBN010000002.1",681192,682277,"-","","Hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",681192,682277,2,681500,682000,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,685500,686000,"list_cnv_geob_cheese","CCBN010000002.1"
"2","gene-BN980_GECA02s06566r","gene-BN980_GECA02s06566r-T1","tRNA","CCBN010000002.1",799110,799199,"+","","tRNA-Ile",NA,"","","","","","","",NA,NA,"","","",799110,799199,2,799000,800500,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,995500,996000,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2091500,2092500,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2093500,2094000,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2100500,2102000,"list_cnv_geob_cheese","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,281000,282000,"list_cnv_cheese_diff","CCBN010000002.1"
"2","gene-BN980_GECA02s02540g","gene-BN980_GECA02s02540g-T1","mRNA","CCBN010000002.1",579055,582249,"+","SLA2","sla2 Src-like adaptor 2",NA,"","EOG093413GF","PF01608;PF07651","IPR002558 I/LWEQ domain;IPR008942 ENTH/VHS;IPR011417 AP180 N-terminal homology (ANTH) domain;IPR013809 ENTH  domain;IPR030224 Sla2 family;IPR035964 I/LWEQ domain superfamily","ENOG503Q3C0","Z:(Z) Cytoskeleton","GO_function: GO:0030276 - clathrin binding [Evidence IEA];GO_function: GO:0005543 - phospholipid binding [Evidence IEA];GO_function: GO:0003779 - actin binding [Evidence IEA];GO_process: GO:0006897 - endocytosis [Evidence IEA]",NA,NA,"","","",579055,582249,2,582000,585000,"list_cnv_cheese_diff","CCBN010000002.1"
"2","gene-BN980_GECA02s02545g","gene-BN980_GECA02s02545g-T1","mRNA","CCBN010000002.1",584221,585066,"+","","mating type protein MATA",NA,"","","","IPR036910 High mobility group box domain superfamily","ENOG503P9NX","K:(K) Transcription","",NA,NA,"","","",584221,585066,2,582000,585000,"list_cnv_cheese_diff","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,793500,794500,"list_cnv_cheese_diff","CCBN010000002.1"
"2","gene-BN980_GECA02s06566r","gene-BN980_GECA02s06566r-T1","tRNA","CCBN010000002.1",799110,799199,"+","","tRNA-Ile",NA,"","","","","","","",NA,NA,"","","",799110,799199,2,798500,800500,"list_cnv_cheese_diff","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,995500,996000,"list_cnv_cheese_diff","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2093500,2094000,"list_cnv_cheese_diff","CCBN010000002.1"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2100500,2102000,"list_cnv_cheese_diff","CCBN010000002.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,159500,160500,"list_cnv_geoc_other","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1323000,1323500,"list_cnv_geoc_other","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1511500,1512000,"list_cnv_geoc_other","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,159500,160500,"list_cnv_geob_cheese","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1323000,1323500,"list_cnv_geob_cheese","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1500,4500,"list_cnv_cheese_diff","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,159500,160500,"list_cnv_cheese_diff","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,629500,630000,"list_cnv_cheese_diff","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1311000,1312500,"list_cnv_cheese_diff","CCBN010000003.1"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1323000,1323500,"list_cnv_cheese_diff","CCBN010000003.1"
"3","gene-BN980_GECA03s07237g","gene-BN980_GECA03s07237g-T1","mRNA","CCBN010000003.1",1561116,1565061,"+","snf21_1","ATP-dependent DNA helicase Snf21",NA,"","","PF00176;PF00271;PF00439;PF04851;PF07529;PF14619","IPR000330 SNF2, N-terminal;IPR001487 Bromodomain;IPR001650 Helicase, C-terminal;IPR014001 Helicase superfamily 1/2, ATP-binding domain;IPR014012 Helicase/SANT-associated domain;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR029295 Snf2, ATP coupling domain;IPR036427 Bromodomain-like superfamily;IPR038718 SNF2-like, N-terminal domain superfamily","ENOG503NX7W","B:(B) Chromatin structure and dynamics;K:(K) Transcription","GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0070615 - nucleosome-dependent ATPase activity [Evidence IEA];GO_function: GO:0042393 - histone binding [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA]",NA,NA,"","","",1561116,1565061,3,1565000,1570500,"list_cnv_cheese_diff","CCBN010000003.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,171500,172500,"list_cnv_geoc_other","CCBN010000004.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,706000,707000,"list_cnv_geoc_other","CCBN010000004.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,732000,732500,"list_cnv_geoc_other","CCBN010000004.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1608000,1608500,"list_cnv_geoc_other","CCBN010000004.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,706000,707000,"list_cnv_geob_cheese","CCBN010000004.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,938000,938500,"list_cnv_cheese_diff","CCBN010000004.1"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1608000,1608500,"list_cnv_cheese_diff","CCBN010000004.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,200000,201000,"list_cnv_geoc_other","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,303500,304000,"list_cnv_geoc_other","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,634000,635500,"list_cnv_geoc_other","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,661500,663000,"list_cnv_geoc_other","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,200000,201000,"list_cnv_geob_cheese","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,303500,305000,"list_cnv_geob_cheese","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,634000,635500,"list_cnv_geob_cheese","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,661500,663000,"list_cnv_geob_cheese","CCBN010000005.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,304000,305000,"list_cnv_cheese_diff","CCBN010000005.1"
"5","gene-BN980_GECA05s02936g","gene-BN980_GECA05s02936g-T1","mRNA","CCBN010000005.1",635713,636252,"-","","Hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",635713,636252,5,635500,636000,"list_cnv_cheese_diff","CCBN010000005.1"
"5","gene-BN980_GECA05s04949g","gene-BN980_GECA05s04949g-T1","mRNA","CCBN010000005.1",1104596,1106287,"+","","hypothetical protein",NA,"4.1.2.4","","PF07690","IPR011701 Major facilitator superfamily;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily","ENOG503NUZT","S:(S) Function unknown","GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YBR008C FLR1 Plasma membrane multidrug transporter of the major facilitator superfamily",1104596,1106287,5,1104500,1106500,"list_cnv_cheese_diff","CCBN010000005.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,448000,449000,"list_cnv_geoc_other","CCBN010000006.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,790000,790500,"list_cnv_geoc_other","CCBN010000006.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1089000,1089500,"list_cnv_geoc_other","CCBN010000006.1"
"6","gene-BN980_GECA06s03458r","gene-BN980_GECA06s03458r-T1","tRNA","CCBN010000006.1",789722,789809,"-","","tRNA-Lys",NA,"","","","","","","",NA,NA,"","","",789722,789809,6,789500,790500,"list_cnv_geob_cheese","CCBN010000006.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,448000,449000,"list_cnv_cheese_diff","CCBN010000006.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,517000,519500,"list_cnv_cheese_diff","CCBN010000006.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,688000,688500,"list_cnv_cheese_diff","CCBN010000006.1"
"6","gene-BN980_GECA06s03458r","gene-BN980_GECA06s03458r-T1","tRNA","CCBN010000006.1",789722,789809,"-","","tRNA-Lys",NA,"","","","","","","",NA,NA,"","","",789722,789809,6,789500,790500,"list_cnv_cheese_diff","CCBN010000006.1"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1089000,1090000,"list_cnv_cheese_diff","CCBN010000006.1"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,57000,57500,"list_cnv_geoc_other","CCBN010000007.1"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,93500,94000,"list_cnv_geoc_other","CCBN010000007.1"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,296000,296500,"list_cnv_geoc_other","CCBN010000007.1"
"7","gene-BN980_GECA07s04410g","gene-BN980_GECA07s04410g-T1","mRNA","CCBN010000007.1",947204,948217,"+","","hypothetical protein, no similarity",NA,"","","","","ENOG503P9G8","","",NA,NA,"","","",947204,948217,7,947000,949000,"list_cnv_geoc_other","CCBN010000007.1"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1206500,1210500,"list_cnv_geoc_other","CCBN010000007.1"
"7","gene-BN980_GECA07s04410g","gene-BN980_GECA07s04410g-T1","mRNA","CCBN010000007.1",947204,948217,"+","","hypothetical protein, no similarity",NA,"","","","","ENOG503P9G8","","",NA,NA,"","","",947204,948217,7,948000,948500,"list_cnv_geob_cheese","CCBN010000007.1"
"7","gene-BN980_GECA07s00005g","gene-BN980_GECA07s00005g-T1","mRNA","CCBN010000007.1",650,1285,"-","","hypothetical protein, no similarity",NA,"","","","","","","",NA,NA,"","","",650,1285,7,1000,4000,"list_cnv_cheese_diff","CCBN010000007.1"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6000,7000,"list_cnv_cheese_diff","CCBN010000007.1"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,28000,30500,"list_cnv_cheese_diff","CCBN010000007.1"
