"scaffold_name","GeneID","TranscriptID","Feature","Contig","Start","Stop","Strand","Name","Product","Alias.Synonyms","EC_number","BUSCO","PFAM","InterPro","EggNog","COG","GO.Terms","Secreted","Membrane","Protease","CAZyme","Notes","begin","end","pos.mean","pos.begin","pos.end","pos.scaffold","window","variable","value","analysis","i.begin","i.end"
"CCBN010000001.1","gene-BN980_GECA01s08942g","gene-BN980_GECA01s08942g-T1","mRNA","CCBN010000001.1",1946411,1947124,"+","KRE1","killer toxin resistant protein",NA,"","","PF17056","IPR031452 Protein Kre1","ENOG503P3XK","S:(S) Function unknown","GO_process: GO:0031505 - fungal-type cell wall organization [Evidence IEA]",NA,NA,"","","",1946411,1947124,1943.7505,1940.001,1947.5,1,389,"Cheese_1",0,"pi",1940001,1947500
"CCBN010000001.1","gene-BN980_GECA01s09085g","gene-BN980_GECA01s09085g-T1","mRNA","CCBN010000001.1",1975338,1979085,"+","SLA1_1","cytoskeletal protein binding protein",NA,"","EOG09340Y8V","PF00018;PF03983;PF07653;PF14604","IPR001452 SH3 domain;IPR007131 SLA1 homology domain 1, SHD1;IPR013761 Sterile alpha motif/pointed domain superfamily;IPR029922 Sla1;IPR035800 Sla1, first SH3 domain;IPR035821 Sla1, third SH3 domain;IPR036028 SH3-like domain superfamily","ENOG503NXRA","Z:(Z) Cytoskeleton","GO_function: GO:0043130 - ubiquitin binding [Evidence IEA];GO_function: GO:0008092 - cytoskeletal protein binding [Evidence IEA];GO_function: GO:0005515 - protein binding [Evidence IEA];GO_function: GO:0042802 - identical protein binding [Evidence IEA];GO_function: GO:0030674 - protein-macromolecule adaptor activity [Evidence IEA];GO_process: GO:0006897 - endocytosis [Evidence IEA]",NA,NA,"","","",1975338,1979085,1973.7505,1970.001,1977.5,1,395,"Cheese_1",0,"pi",1970001,1977500
"CCBN010000001.1","gene-BN980_GECA01s09294g","gene-BN980_GECA01s09294g-T1","mRNA","CCBN010000001.1",2027085,2027644,"-","","hypothetical protein",NA,"","","PF01894","IPR001602 Uncharacterised protein family UPF0047;IPR035917 YjbQ-like superfamily","ENOG503P1R9","S:(S) Function unknown","",NA,NA,"","","",2027085,2027644,2028.7505,2025.001,2032.5,1,406,"Cheese_1",0,"pi",2025001,2032500
"CCBN010000001.1","gene-BN980_GECA01s09305g","gene-BN980_GECA01s09305g-T1","mRNA","CCBN010000001.1",2027838,2028625,"-","","hypothetical protein",NA,"","EOG09344428","PF06417","IPR009445 TMEM85/ER membrane protein complex subunit 4","ENOG503P544","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YGL231C EMC4 Member of a transmembrane complex required for efficient folding ofproteins in the ER",2027838,2028625,2028.7505,2025.001,2032.5,1,406,"Cheese_1",0,"pi",2025001,2032500
"CCBN010000001.1","gene-BN980_GECA01s09316g","gene-BN980_GECA01s09316g-T1","mRNA","CCBN010000001.1",2028840,2029325,"+","","hypothetical protein",NA,"3.1.26.5","","PF12328","IPR014612 Ribonucleases P/MRP protein subunit Rpp20/Pop7;IPR036882 Alba-like domain superfamily","ENOG503P61C","S:(S) Function unknown","GO_component: GO:0005655 - nucleolar ribonuclease P complex [Evidence IEA];GO_component: GO:0000172 - ribonuclease MRP complex [Evidence IEA];GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_process: GO:0001682 - tRNA 5'-leader removal [Evidence IEA];GO_process: GO:0006396 - RNA processing [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YBR167C POP7 Subunit of both RNase MRP and nuclear RNase P",2028840,2029325,2028.7505,2025.001,2032.5,1,406,"Cheese_1",0,"pi",2025001,2032500
"CCBN010000001.1","gene-BN980_GECA01s09327g","gene-BN980_GECA01s09327g-T1","mRNA","CCBN010000001.1",2029446,2030584,"-","","hypothetical protein",NA,"","","PF02926","IPR004114 THUMP domain;IPR040183 THUMP domain-containing protein 1-like","ENOG503NWIV","S:(S) Function unknown","GO_function: GO:0003723 - RNA binding [Evidence IEA];GO_process: GO:0006400 - tRNA modification [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YGL232W TAN1 Putative tRNA acetyltransferase",2029446,2030584,2028.7505,2025.001,2032.5,1,406,"Cheese_1",0,"pi",2025001,2032500
"CCBN010000001.1","gene-BN980_GECA01s09332r","gene-BN980_GECA01s09332r-T1","tRNA","CCBN010000001.1",2032072,2032157,"+","","tRNA-Tyr",NA,"","","","","","","",NA,NA,"","","",2032072,2032157,2028.7505,2025.001,2032.5,1,406,"Cheese_1",0,"pi",2025001,2032500
"CCBN010000001.1","gene-BN980_GECA01s10845g","gene-BN980_GECA01s10845g-T1","mRNA","CCBN010000001.1",2408856,2411909,"+","GCV2","glycine decarboxylase subunit P",NA,"1.4.4.2","EOG09340BG2","PF02347","IPR003437 Glycine dehydrogenase (decarboxylating);IPR015421 Pyridoxal phosphate-dependent transferase, major domain;IPR015422 Pyridoxal phosphate-dependent transferase, small domain;IPR015424 Pyridoxal phosphate-dependent transferase;IPR020581 Glycine cleavage system P protein","ENOG503NWQC","E:(E) Amino acid transport and metabolism","GO_function: GO:0003824 - catalytic activity [Evidence IEA];GO_function: GO:0004375 - glycine dehydrogenase (decarboxylating) activity [Evidence IEA];GO_process: GO:0006544 - glycine metabolic process [Evidence IEA];GO_process: GO:0006546 - glycine catabolic process [Evidence IEA]",NA,NA,"","","",2408856,2411909,2413.7505,2410.001,2417.5,1,483,"Cheese_1",0,"pi",2410001,2417500
"CCBN010000001.1","gene-BN980_GECA01s10889g","gene-BN980_GECA01s10889g-T1","mRNA","CCBN010000001.1",2419453,2421012,"+","HGT1_1","high affinity glucose transporter",NA,"","","PF00083;PF07690","IPR003663 Sugar/inositol transporter;IPR005828 Major facilitator,  sugar transporter-like;IPR005829 Sugar transporter, conserved site;IPR020846 Major facilitator superfamily domain;IPR036259 MFS transporter superfamily","ENOG503NVJ9","P:(P) Inorganic ion transport and metabolism","GO_component: GO:0016020 - membrane [Evidence IEA];GO_component: GO:0016021 - integral component of membrane [Evidence IEA];GO_function: GO:0022857 - transmembrane transporter activity [Evidence IEA];GO_process: GO:0055085 - transmembrane transport [Evidence IEA]",NA,NA,"","","",2419453,2421012,2418.7505,2415.001,2422.5,1,484,"Cheese_1",0,"pi",2415001,2422500
"CCBN010000001.1","gene-BN980_GECA01s10933g","gene-BN980_GECA01s10933g-T1","mRNA","CCBN010000001.1",2431997,2438010,"+","mug81","Putative steryl acetyl hydrolase mug81",NA,"3.6.4.13","","PF00270;PF00271;PF02889;PF04851","IPR001650 Helicase, C-terminal;IPR003593 AAA+ ATPase domain;IPR004179 Sec63 domain;IPR011545 DEAD/DEAH box helicase domain;IPR014001 Helicase superfamily 1/2, ATP-binding domain;IPR014756 Immunoglobulin E-set;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR035892 C2 domain superfamily;IPR036388 Winged helix-like DNA-binding domain superfamily;IPR036390 Winged helix DNA-binding domain superfamily","ENOG503NYFN","A:(A) RNA processing and modification","GO_function: GO:0003676 - nucleic acid binding [Evidence IEA];GO_function: GO:0005524 - ATP binding [Evidence IEA]",NA,NA,"","","",2431997,2438010,2438.7505,2435.001,2442.5,1,488,"Cheese_1",0,"pi",2435001,2442500
"CCBN010000001.1","gene-BN980_GECA01s10944g","gene-BN980_GECA01s10944g-T1","mRNA","CCBN010000001.1",2438266,2439727,"+","LEO1","Paf1 complex component",NA,"","EOG09343LWD","PF04004","IPR007149 Leo1-like protein","ENOG503NU6A","O:(O) Posttranslational modification, protein turnover, chaperones","GO_component: GO:0016593 - Cdc73/Paf1 complex [Evidence IEA];GO_process: GO:0006368 - transcription elongation from RNA polymerase II promoter [Evidence IEA];GO_process: GO:0016570 - histone modification [Evidence IEA]",NA,NA,"","","",2438266,2439727,2438.7505,2435.001,2442.5,1,488,"Cheese_1",0,"pi",2435001,2442500
"CCBN010000001.1","gene-BN980_GECA01s10955g","gene-BN980_GECA01s10955g-T1","mRNA","CCBN010000001.1",2439917,2440714,"-","EFG1","18S rRNA maturation protein",NA,"","EOG09343REO","PF10153","IPR019310 rRNA-processing protein Efg1","ENOG503P6NT","A:(A) RNA processing and modification","GO_process: GO:0006364 - rRNA processing [Evidence IEA]",NA,NA,"","","",2439917,2440714,2438.7505,2435.001,2442.5,1,488,"Cheese_1",0,"pi",2435001,2442500
"CCBN010000001.1","gene-BN980_GECA01s10955g","gene-BN980_GECA01s10955g-T1","mRNA","CCBN010000001.1",2439917,2440714,"-","EFG1","18S rRNA maturation protein",NA,"","EOG09343REO","PF10153","IPR019310 rRNA-processing protein Efg1","ENOG503P6NT","A:(A) RNA processing and modification","GO_process: GO:0006364 - rRNA processing [Evidence IEA]",NA,NA,"","","",2439917,2440714,2443.7505,2440.001,2447.5,1,489,"Cheese_1",0,"pi",2440001,2447500
"CCBN010000001.1","gene-BN980_GECA01s10988g","gene-BN980_GECA01s10988g-T1","mRNA","CCBN010000001.1",2445141,2445737,"-","","hypothetical protein",NA,"","","PF18126","IPR037507 54S ribosomal protein L25;IPR040922 MRPL25 domain","ENOG503P418","J:(J) Translation, ribosomal structure and biogenesis","GO_component: GO:0005762 - mitochondrial large ribosomal subunit [Evidence IEA];GO_function: GO:0003735 - structural constituent of ribosome [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YGR076C MRPL25 Mitochondrial ribosomal protein of the large subunit",2445141,2445737,2443.7505,2440.001,2447.5,1,489,"Cheese_1",0,"pi",2440001,2447500
"CCBN010000001.1","gene-BN980_GECA01s10999g","gene-BN980_GECA01s10999g-T1","mRNA","CCBN010000001.1",2446165,2447619,"+","ARG8","acetylornithine aminotransferase",NA,"2.6.1.11","EOG09342EGQ","PF00202","IPR004636 Acetylornithine/Succinylornithine transaminase family;IPR005814 Aminotransferase class-III;IPR015421 Pyridoxal phosphate-dependent transferase, major domain;IPR015422 Pyridoxal phosphate-dependent transferase, small domain;IPR015424 Pyridoxal phosphate-dependent transferase","ENOG503NUU1","E:(E) Amino acid transport and metabolism","GO_function: GO:0030170 - pyridoxal phosphate binding [Evidence IEA];GO_function: GO:0003824 - catalytic activity [Evidence IEA];GO_function: GO:0008483 - transaminase activity [Evidence IEA];GO_process: GO:0006525 - arginine metabolic process [Evidence IEA]",NA,NA,"","","",2446165,2447619,2443.7505,2440.001,2447.5,1,489,"Cheese_1",0,"pi",2440001,2447500
"CCBN010000001.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2478.7505,2475.001,2482.5,1,496,"Cheese_1",0,"pi",2475001,2482500
"CCBN010000001.1","gene-BN980_GECA01s11560g","gene-BN980_GECA01s11560g-T1","mRNA","CCBN010000001.1",2568128,2570761,"+","PHM7_1","phosphate metabolism protein 7",NA,"","","PF02714;PF12621;PF13967;PF14703","IPR003864 Calcium-dependent channel, 7TM region, putative phosphate;IPR022257 10TM putative phosphate transporter, extracellular tail;IPR027815 10TM putative phosphate transporter, cytosolic domain;IPR032880 Calcium permeable stress-gated cation channel 1, N-terminal transmembrane domain;IPR045122 Calcium permeable stress-gated cation channel 1-like","ENOG503NW23","S:(S) Function unknown","GO_component: GO:0016020 - membrane [Evidence IEA];GO_function: GO:0005227 - calcium activated cation channel activity [Evidence IEA]",NA,NA,"","","",2568128,2570761,2573.7505,2570.001,2577.5,1,515,"Cheese_1",0,"pi",2570001,2577500
"CCBN010000001.1","gene-BN980_GECA01s11582g","gene-BN980_GECA01s11582g-T1","mRNA","CCBN010000001.1",2573225,2574079,"+","IPP1_1","Inorganic pyrophosphatase",NA,"3.6.1.1","","PF00719","IPR008162 Inorganic pyrophosphatase;IPR036649 Inorganic pyrophosphatase superfamily","ENOG503NUSR","C:(C) Energy production and conversion","GO_component: GO:0005737 - cytoplasm [Evidence IEA];GO_function: GO:0000287 - magnesium ion binding [Evidence IEA];GO_function: GO:0004427 - inorganic diphosphatase activity [Evidence IEA];GO_process: GO:0006796 - phosphate-containing compound metabolic process [Evidence IEA]",NA,NA,"","","",2573225,2574079,2573.7505,2570.001,2577.5,1,515,"Cheese_1",0,"pi",2570001,2577500
"CCBN010000001.1","gene-BN980_GECA01s11593g","gene-BN980_GECA01s11593g-T1","mRNA","CCBN010000001.1",2574340,2579261,"+","","hypothetical protein",NA,"","EOG09340MIJ","PF10487;PF18378","IPR018864 Nucleoporin Nup188, N-terminal;IPR041634 Nuclear pore protein Nup188, C-terminal;IPR044840 Nucleoporin Nup188","ENOG503NWX3","S:(S) Function unknown","GO_function: GO:0017056 - structural constituent of nuclear pore [Evidence IEA]",NA,NA,"","","similar to Saccharomyces cerevisiae YML103C NUP188 Subunit of the nuclear pore complex (NPC)",2574340,2579261,2573.7505,2570.001,2577.5,1,515,"Cheese_1",0,"pi",2570001,2577500
"CCBN010000001.1","gene-BN980_GECA01s00197g","gene-BN980_GECA01s00197g-T1","mRNA","CCBN010000001.1",44146,45393,"+","","hypothetical protein",NA,"","","PF04193","IPR006603 PQ-loop repeat","ENOG503P1GY","S:(S) Function unknown","",NA,NA,"","","similar to Saccharomyces cerevisiae YDR352W YPQ2 Putative vacuolar membrane transporter for cationic amino acids",44146,45393,43.7505,40.001,47.5,1,9,"Cheese_3",2.22222222222222e-05,"pi",40001,47500
